alpha,eval/episode_length,eval/episode_length_std,eval/episode_reward,eval/episode_reward_std,loss/actor,loss/alpha,loss/critic,rollout_info/num_transitions,rollout_info/reward_mean,timestep
0.9515303246378891,150.0,0.0,-8110.392794187869,1901.3602727218774,-2.593240262746809,-0.33658480099076377,8.762878988636658e-05,207222.0,-0.8108181072934906,1000
0.8609540964365019,150.0,0.0,-9639.885391452131,2009.6138312078851,-2.349387122631076,-1.009821541607379,1.2236643628057204e-05,207882.0,-0.8007025212057234,2000
0.7790158240199081,150.0,0.0,-10311.170276536552,2383.5329330539753,-2.1272808997631096,-1.6833176251649864,6.400167461151803e-06,207656.0,-0.790458255938273,3000
0.7048787568211573,150.0,0.0,-9823.597453991006,2193.1973264323524,-1.925050103902819,-2.35659674215316,3.64635717301098e-06,208281.0,-0.7970364369877642,4000
0.637794295907021,150.0,0.0,-7861.595956180553,1894.255707195693,-1.7429043610095991,-3.030551016569136,2.1965998636233e-06,207754.0,-0.7965530612976572,5000
0.5770970308780667,150.0,0.0,-8072.671970158162,1653.2959775251556,-1.576667098045346,-3.7035536158084894,1.486565556035659e-06,207991.0,-0.7929490105358323,6000
0.5221807158291335,150.0,0.0,-8794.031303272135,2157.478068791321,-1.4266014680862416,-4.3766937413215645,1.100457343568452e-06,207073.0,-0.7970333398998863,7000
0.47248780718445815,150.0,0.0,-8526.25363822618,1792.977466549781,-1.2911059862375245,-5.050351756095891,6.751822909478727e-07,207603.0,-0.7900913211696864,8000
0.42752347359061227,150.0,0.0,-10400.673323235227,2185.5152346877126,-1.168227454185489,-5.723634850978848,5.722996778700911e-07,207804.0,-0.7876147411797462,9000
0.3868384310901161,150.0,0.0,-8937.408463741356,1982.6473182082427,-1.0573009752035154,-6.3975087413787834,3.9387511644761704e-07,207940.0,-0.7896625434554052,10000
0.35002538543939576,150.0,0.0,-9100.697296546428,1707.9289833671323,-0.9564987529516226,-7.070328195571894,3.5680183903075187e-07,207675.0,-0.7988935163695116,11000
0.31671497246623065,150.0,0.0,-9655.696777645184,2025.6756099121649,-0.8660348944663998,-7.7454760813713115,1.97284124574537e-07,207776.0,-0.7950291869526449,12000
0.28657486817240696,150.0,0.0,-9953.293104847155,2156.2565886954235,-0.7834404770731931,-8.418411460876465,2.436924442235083e-07,207129.0,-0.7971604300933836,13000
0.25930259039998066,150.0,0.0,-10138.968365378762,2257.7641078444053,-0.7087286257147798,-9.090786528587333,1.370419744559648e-07,207922.0,-0.7957481232965254,14000
0.23462842077016832,150.0,0.0,-9000.64640538608,1192.1999354919797,-0.6413776883482937,-9.764730868339532,1.1089397784980184e-07,207592.0,-0.7932453861349547,15000
0.2123007812947037,150.0,0.0,-8714.211390807042,1746.1997705540418,-0.5801785570383066,-10.436881632804877,8.600947191061962e-08,208555.0,-0.7909103891591971,16000
0.19209749387204633,150.0,0.0,-10648.593207079499,1708.8700252094466,-0.5251946481466298,-11.11216042137146,7.04076661444118e-08,207215.0,-0.7995719809193572,17000
0.1738163542151452,150.0,0.0,-9744.180463620318,2168.490543248994,-0.4750946615636353,-11.784394631385817,4.9157266879484725e-08,207385.0,-0.793508887716391,18000
0.15727582426369183,150.0,0.0,-8653.099939500567,2049.497476700591,-0.42984718272089983,-12.457266531944272,5.4800788068187675e-08,207453.0,-0.7926885765168601,19000
0.14230988126993155,150.0,0.0,-7817.604519992865,618.9458246538696,-0.38891685491800365,-13.129949328422562,3.1551440448751634e-08,207947.0,-0.7966840048915401,20000
0.12876712402701365,150.0,0.0,-10313.252301994251,1725.370091775699,-0.35207370880246147,-13.80633714008331,3.699677504753756e-08,208366.0,-0.7977820712152436,21000
0.11651486054062857,150.0,0.0,-9351.418446985395,1761.8758789770238,-0.3185219883620743,-14.478614999771104,2.5021491284304945e-08,207366.0,-0.7980057180290568,22000
0.10542722414433964,150.0,0.0,-9010.773449794639,1609.1672423363013,-0.28834565350413377,-15.154760321617134,2.2306701426416708e-08,207901.0,-0.7952523659261402,23000
0.09539601912349474,150.0,0.0,-10161.919707416802,2144.2921188873183,-0.2608379792422054,-15.826174223899848,1.8851883670401066e-08,207408.0,-0.7947232136451653,24000
0.08632012449949979,150.0,0.0,-9813.842429011831,2126.1819686589843,-0.23595834834873677,-16.498367378234846,2.1070339614570596e-08,206940.0,-0.8048454294478673,25000
0.07810655884444709,150.0,0.0,-9650.097227398499,2147.1369940603554,-0.21362881058454541,-17.17532167053227,9.616646474502875e-09,207488.0,-0.7925915903893073,26000
0.07067407857626673,150.0,0.0,-9868.88550184378,2149.339871452011,-0.193241922602057,-17.84668897438048,1.2302246299444865e-08,207678.0,-0.7869733580912815,27000
0.06395001350715773,150.0,0.0,-7798.698639662221,599.7053682206341,-0.1748560935556891,-18.52049514579776,1.2203932850438057e-08,207386.0,-0.7952523176506026,28000
0.057865614846348716,150.0,0.0,-8675.228268109544,2214.255476518215,-0.15822797745466222,-19.193631956100454,5.505453199772247e-09,208101.0,-0.7953982525254218,29000
0.05236005314812053,150.0,0.0,-9244.785124881177,2433.3672846530862,-0.14317459049820885,-19.867162046432473,8.814606948640038e-09,207475.0,-0.7894324177802662,30000
0.04737827543541792,150.0,0.0,-9672.335402016764,2220.6449009751577,-0.12952478201687356,-20.539121068954447,8.137428460161529e-09,207237.0,-0.7956142892741868,31000
0.042870900008827484,150.0,0.0,-8419.676828325217,1957.022349932626,-0.11720212401449694,-21.212448783874517,6.6632742797140345e-09,207777.0,-0.7883217254570173,32000
0.038791890833526826,150.0,0.0,-10699.505057404866,1863.8379915066037,-0.10604731332510722,-21.885871576309214,6.838216430063434e-09,207658.0,-0.7996408768283642,33000
0.03510130912065509,150.0,0.0,-10648.741384785088,2372.6511307778446,-0.09596917775273325,-22.559719459533703,3.179159402982854e-09,207551.0,-0.7999722651626906,34000
0.03176138081029066,150.0,0.0,-11283.377565620354,2098.533016247594,-0.08680032441020022,-23.230163799285894,5.837149384388407e-09,207132.0,-0.7936931599666164,35000
